;Discharge;Waterlevel
2000-01-01 00:00:00;0.0;7.47
2000-01-01 01:00:00;0.25307485;7.6937666
2000-01-01 02:00:00;0.16605678;7.7316504
2000-01-01 03:00:00;0.16722387;7.7941422
2000-01-01 04:00:00;0.5156117;7.8213525
2000-01-01 05:00:00;1.0039804;7.8473134
2000-01-01 06:00:00;1.219135;7.886875
2000-01-01 07:00:00;1.3146658;7.913981
2000-01-01 08:00:00;1.445117;7.9385743
2000-01-01 09:00:00;1.7854974;8.022422
2000-01-01 10:00:00;2.0187569;8.413658
2000-01-01 11:00:00;2.1493788;8.721539
2000-01-01 12:00:00;2.291241;8.998371
2000-01-01 13:00:00;2.433828;9.203149
2000-01-01 14:00:00;2.6168094;9.13325
2000-01-01 15:00:00;2.7287514;8.96085
2000-01-01 16:00:00;2.826193;8.880951
2000-01-01 17:00:00;2.8974295;8.867713
2000-01-01 18:00:00;3.046368;8.887683
2000-01-01 19:00:00;3.1719465;8.905083
2000-01-01 20:00:00;3.2509701;8.914857
2000-01-01 21:00:00;3.3057046;8.914478
2000-01-01 22:00:00;3.3728127;8.912925
2000-01-01 23:00:00;3.353735;8.907973
2000-01-02 00:00:00;3.3530407;8.907783
2000-01-02 01:00:00;3.3543358;8.91037
2000-01-02 02:00:00;3.3574853;8.910373
2000-01-02 03:00:00;3.3617547;8.909765
2000-01-02 04:00:00;3.3592381;8.904049
2000-01-02 05:00:00;3.3246496;8.900534
2000-01-02 06:00:00;3.3008435;8.906545
2000-01-02 07:00:00;3.174111;8.905303
2000-01-02 08:00:00;3.0654955;8.901738
2000-01-02 09:00:00;2.9225042;8.898093
2000-01-02 10:00:00;2.7741568;8.896708
2000-01-02 11:00:00;2.6697845;8.90075
2000-01-02 12:00:00;2.6363928;8.889622
2000-01-02 13:00:00;2.5889149;8.897797
2000-01-02 14:00:00;2.5974188;8.889479
2000-01-02 15:00:00;2.6533139;8.898522
2000-01-02 16:00:00;2.6686656;8.891823
2000-01-02 17:00:00;2.6218288;8.895638
2000-01-02 18:00:00;2.5808492;8.900876
2000-01-02 19:00:00;2.5126286;8.903685
2000-01-02 20:00:00;2.4589398;8.897152
2000-01-02 21:00:00;2.4307387;8.901676
2000-01-02 22:00:00;2.3847625;8.895054
2000-01-02 23:00:00;2.3314857;8.893528
2000-01-03 00:00:00;2.3411672;8.905006
2000-01-03 01:00:00;2.3010044;8.892291
2000-01-03 02:00:00;2.3490443;8.898852
2000-01-03 03:00:00;2.3928626;8.892037
2000-01-03 04:00:00;2.3876615;8.894852
2000-01-03 05:00:00;2.4072115;8.908079
2000-01-03 06:00:00;2.4128;8.904139
2000-01-03 07:00:00;2.4936657;8.894883
2000-01-03 08:00:00;2.5889819;8.902937
2000-01-03 09:00:00;2.6407063;8.898198
2000-01-03 10:00:00;2.6899064;8.900726
2000-01-03 11:00:00;2.6378536;8.909041
2000-01-03 12:00:00;2.600777;8.908108
2000-01-03 13:00:00;2.5836203;8.909919
2000-01-03 14:00:00;2.6106544;8.90746
2000-01-03 15:00:00;2.777071;8.905954
2000-01-03 16:00:00;2.9070008;8.904708
2000-01-03 17:00:00;3.054642;8.906721
2000-01-03 18:00:00;3.170638;8.909705
2000-01-03 19:00:00;3.3163583;8.91294
2000-01-03 20:00:00;3.493987;8.918565
2000-01-03 21:00:00;3.5698233;8.92045
2000-01-03 22:00:00;3.6641333;8.924309
2000-01-03 23:00:00;3.7323298;8.926382
2000-01-04 00:00:00;3.8112724;8.92618
2000-01-04 01:00:00;3.8071313;8.920544
2000-01-04 02:00:00;3.863295;8.9158
2000-01-04 03:00:00;3.916693;8.920948
2000-01-04 04:00:00;4.0016017;8.921648
2000-01-04 05:00:00;4.038819;8.923792
2000-01-04 06:00:00;4.050722;8.925131
2000-01-04 07:00:00;4.0939846;8.926438
2000-01-04 08:00:00;4.1605897;8.929476
2000-01-04 09:00:00;4.1534796;8.9266405
2000-01-04 10:00:00;4.1266227;8.933351
2000-01-04 11:00:00;4.061944;8.931851
2000-01-04 12:00:00;4.003467;8.999064
2000-01-04 13:00:00;3.8994677;8.954048
2000-01-04 14:00:00;3.8045049;8.933667
2000-01-04 15:00:00;3.7525089;8.928195
2000-01-04 16:00:00;3.7728376;8.919109
2000-01-04 17:00:00;3.7007165;8.917212
2000-01-04 18:00:00;3.6931622;8.916272
2000-01-04 19:00:00;3.7106016;8.913279
2000-01-04 20:00:00;3.8617873;8.913641
2000-01-04 21:00:00;3.9273963;8.916749
2000-01-04 22:00:00;4.046446;8.925078
2000-01-04 23:00:00;4.172363;8.919551
2000-01-05 00:00:00;4.227087;8.927957
2000-01-05 01:00:00;4.224216;8.937223
2000-01-05 02:00:00;4.277981;8.945688
2000-01-05 03:00:00;4.3916717;8.951589
2000-01-05 04:00:00;4.494816;8.95791
2000-01-05 05:00:00;4.5939016;8.96517
2000-01-05 06:00:00;4.68865;8.972813
2000-01-05 07:00:00;4.783779;8.978172
2000-01-05 08:00:00;4.8028316;8.989012
2000-01-05 09:00:00;4.857722;9.002926
2000-01-05 10:00:00;4.946392;9.013089
2000-01-05 11:00:00;4.968857;9.020195
2000-01-05 12:00:00;5.046441;9.022874
2000-01-05 13:00:00;5.141423;9.025504
2000-01-05 14:00:00;5.2163043;9.025348
2000-01-05 15:00:00;5.2716417;9.032348
2000-01-05 16:00:00;5.356825;9.041835
2000-01-05 17:00:00;5.3750057;9.053056
2000-01-05 18:00:00;5.479503;9.059674
2000-01-05 19:00:00;5.6816964;9.066078
2000-01-05 20:00:00;5.8190174;9.073692
2000-01-05 21:00:00;5.939169;9.082035
2000-01-05 22:00:00;6.04483;9.097994
2000-01-05 23:00:00;6.1304407;9.113181
2000-01-06 00:00:00;6.1767173;9.124247
2000-01-06 01:00:00;6.2383676;9.136403
2000-01-06 02:00:00;6.3818374;9.14693
2000-01-06 03:00:00;6.4515524;9.157458
2000-01-06 04:00:00;6.5803685;9.170564
2000-01-06 05:00:00;6.705234;9.185704
2000-01-06 06:00:00;6.773696;9.197589
2000-01-06 07:00:00;6.823516;9.209414
2000-01-06 08:00:00;6.860843;9.220939
2000-01-06 09:00:00;6.8095837;9.234577
2000-01-06 10:00:00;6.824502;9.24122
2000-01-06 11:00:00;6.930806;9.247234
2000-01-06 12:00:00;7.02123;9.255325
2000-01-06 13:00:00;7.1224303;9.261593
2000-01-06 14:00:00;7.234405;9.272401
2000-01-06 15:00:00;7.3144035;9.28008
2000-01-06 16:00:00;7.372111;9.284977
2000-01-06 17:00:00;7.4821997;9.294792
2000-01-06 18:00:00;7.541373;9.303767
2000-01-06 19:00:00;7.5197606;9.312099
2000-01-06 20:00:00;7.5330167;9.3170805
2000-01-06 21:00:00;7.5227695;9.322337
2000-01-06 22:00:00;7.507352;9.331306
2000-01-06 23:00:00;7.5418363;9.339062
2000-01-07 00:00:00;7.5485516;9.345662
2000-01-07 01:00:00;7.558063;9.351384
2000-01-07 02:00:00;7.5929723;9.355354
2000-01-07 03:00:00;7.67644;9.359497
2000-01-07 04:00:00;7.7261114;9.36445
2000-01-07 05:00:00;7.755689;9.369141
2000-01-07 06:00:00;7.8167815;9.375681
2000-01-07 07:00:00;7.8880224;9.386269
2000-01-07 08:00:00;8.008944;9.401324
2000-01-07 09:00:00;8.167534;9.405235
2000-01-07 10:00:00;8.3729515;9.410098
2000-01-07 11:00:00;8.601309;9.4227085
2000-01-07 12:00:00;8.792737;9.429219
2000-01-07 13:00:00;8.988817;9.451028
2000-01-07 14:00:00;9.162313;9.464672
2000-01-07 15:00:00;9.337504;9.486202
2000-01-07 16:00:00;9.517575;9.50387
2000-01-07 17:00:00;9.694866;9.52029
2000-01-07 18:00:00;9.899967;9.533093
2000-01-07 19:00:00;10.087836;9.55191
2000-01-07 20:00:00;10.290704;9.573455
2000-01-07 21:00:00;10.490096;9.593459
2000-01-07 22:00:00;10.673845;9.614325
2000-01-07 23:00:00;10.841895;9.635523
2000-01-08 00:00:00;11.02773;9.658622
2000-01-08 01:00:00;11.205536;9.690398
2000-01-08 02:00:00;11.366457;9.700944
2000-01-08 03:00:00;11.550987;9.718052
2000-01-08 04:00:00;11.734188;9.729356
2000-01-08 05:00:00;11.9112625;9.740783
2000-01-08 06:00:00;12.079707;9.750586
2000-01-08 07:00:00;12.244019;9.760988
2000-01-08 08:00:00;12.40861;9.769737
2000-01-08 09:00:00;12.581976;9.778068
2000-01-08 10:00:00;12.746573;9.786985
2000-01-08 11:00:00;12.904656;9.793379
2000-01-08 12:00:00;13.056331;9.800972
2000-01-08 13:00:00;13.200662;9.805641
2000-01-08 14:00:00;13.35125;9.813371
2000-01-08 15:00:00;13.490154;9.817621
2000-01-08 16:00:00;13.624005;9.819588
2000-01-08 17:00:00;13.75334;9.8269005
2000-01-08 18:00:00;13.864857;9.82899
2000-01-08 19:00:00;13.989431;9.836885
2000-01-08 20:00:00;14.091913;9.841566
2000-01-08 21:00:00;14.198253;9.848183
2000-01-08 22:00:00;14.283504;9.854999
2000-01-08 23:00:00;14.383699;9.858722
2000-01-09 00:00:00;14.50549;9.868312
2000-01-09 01:00:00;14.606098;9.870993
2000-01-09 02:00:00;14.696984;9.878512
2000-01-09 03:00:00;14.786067;9.883775
2000-01-09 04:00:00;14.857364;9.888221
2000-01-09 05:00:00;14.894388;9.8909855
2000-01-09 06:00:00;14.973749;9.898397
2000-01-09 07:00:00;15.01997;9.900908
2000-01-09 08:00:00;15.05146;9.907167
2000-01-09 09:00:00;15.074542;9.91331
2000-01-09 10:00:00;15.096414;9.917642
2000-01-09 11:00:00;15.113938;9.91841
2000-01-09 12:00:00;15.128061;9.924244
2000-01-09 13:00:00;15.141248;9.92426
2000-01-09 14:00:00;15.149679;9.929255
2000-01-09 15:00:00;15.154191;9.930045
2000-01-09 16:00:00;15.150458;9.934582
2000-01-09 17:00:00;15.139806;9.9364395
2000-01-09 18:00:00;15.12363;9.938408
2000-01-09 19:00:00;15.102209;9.941179
2000-01-09 20:00:00;15.074437;9.941552
2000-01-09 21:00:00;15.0396;9.944096
2000-01-09 22:00:00;14.997884;9.943411
2000-01-09 23:00:00;14.947898;9.944006
2000-01-10 00:00:00;14.889232;9.946608
2000-01-10 01:00:00;14.82518;9.944031
2000-01-10 02:00:00;14.743772;9.945454
2000-01-10 03:00:00;14.673092;9.947772
2000-01-10 04:00:00;14.605156;9.946749
2000-01-10 05:00:00;14.540104;9.944885
2000-01-10 06:00:00;14.46319;9.945838
2000-01-10 07:00:00;14.417467;9.9421
2000-01-10 08:00:00;14.36306;9.940175
2000-01-10 09:00:00;14.290038;9.9406595
2000-01-10 10:00:00;14.234626;9.938857
2000-01-10 11:00:00;14.158868;9.935204
2000-01-10 12:00:00;14.050436;9.932877
2000-01-10 13:00:00;13.945669;9.932116
2000-01-10 14:00:00;13.832558;9.928597
2000-01-10 15:00:00;13.69852;9.926758
2000-01-10 16:00:00;13.576684;9.924543
2000-01-10 17:00:00;13.44749;9.923086
2000-01-10 18:00:00;13.30072;9.921562
2000-01-10 19:00:00;13.159108;9.917744
2000-01-10 20:00:00;13.040111;9.91441
2000-01-10 21:00:00;12.905435;9.909012
2000-01-10 22:00:00;12.781074;9.903941
2000-01-10 23:00:00;12.673289;9.901018
2000-01-11 00:00:00;12.5271225;9.89666
2000-01-11 01:00:00;12.395196;9.894108
2000-01-11 02:00:00;12.285747;9.886526
2000-01-11 03:00:00;12.150893;9.88192
2000-01-11 04:00:00;12.022215;9.877432
2000-01-11 05:00:00;11.921273;9.873655
2000-01-11 06:00:00;11.797808;9.86421
2000-01-11 07:00:00;11.666388;9.857377
2000-01-11 08:00:00;11.564321;9.852018
2000-01-11 09:00:00;11.447566;9.846264
2000-01-11 10:00:00;11.294188;9.835495
2000-01-11 11:00:00;11.190414;9.82799
2000-01-11 12:00:00;11.068588;9.823043
2000-01-11 13:00:00;10.917805;9.81141
2000-01-11 14:00:00;10.796714;9.80325
2000-01-11 15:00:00;10.662977;9.795306
2000-01-11 16:00:00;10.49822;9.784645
2000-01-11 17:00:00;10.357961;9.775024
2000-01-11 18:00:00;10.207493;9.765733
2000-01-11 19:00:00;10.007955;9.753296
2000-01-11 20:00:00;9.822206;9.743068
2000-01-11 21:00:00;9.65973;9.732759
2000-01-11 22:00:00;9.434724;9.717131
2000-01-11 23:00:00;9.210383;9.70299
2000-01-12 00:00:00;8.989188;9.689556
2000-01-12 01:00:00;8.668531;9.669123
2000-01-12 02:00:00;8.339429;9.651776
2000-01-12 03:00:00;8.046704;9.630148
2000-01-12 04:00:00;7.728332;9.6072035
2000-01-12 05:00:00;7.42303;9.584213
2000-01-12 06:00:00;7.1777244;9.552299
2000-01-12 07:00:00;6.9442334;9.52217
2000-01-12 08:00:00;6.708768;9.48847
2000-01-12 09:00:00;6.528524;9.456277
2000-01-12 10:00:00;6.3944764;9.422097
2000-01-12 11:00:00;6.2039466;9.386007
2000-01-12 12:00:00;6.0633764;9.354802
2000-01-12 13:00:00;5.9712257;9.317656
2000-01-12 14:00:00;5.8310194;9.289763
2000-01-12 15:00:00;5.7240057;9.256523
2000-01-12 16:00:00;5.6563315;9.235474
2000-01-12 17:00:00;5.5706196;9.207252
2000-01-12 18:00:00;5.456551;9.192475
2000-01-12 19:00:00;5.378238;9.171237
2000-01-12 20:00:00;5.3455563;9.162429
2000-01-12 21:00:00;5.2445793;9.147956
2000-01-12 22:00:00;5.1690497;9.145288
2000-01-12 23:00:00;5.1713305;9.141446
2000-01-13 00:00:00;5.2443624;9.128802
2000-01-13 01:00:00;5.291141;9.117746
2000-01-13 02:00:00;5.3563857;9.109583
2000-01-13 03:00:00;5.474816;9.103921
2000-01-13 04:00:00;5.4967885;9.101999
2000-01-13 05:00:00;5.511824;9.103102
2000-01-13 06:00:00;5.526394;9.104017
2000-01-13 07:00:00;5.5672894;9.104125
2000-01-13 08:00:00;5.5405593;9.103795
2000-01-13 09:00:00;5.52883;9.104312
2000-01-13 10:00:00;5.50984;9.105531
2000-01-13 11:00:00;5.4939923;9.108472
2000-01-13 12:00:00;5.4123554;9.114342
2000-01-13 13:00:00;5.3595405;9.113761
2000-01-13 14:00:00;5.336374;9.117633
2000-01-13 15:00:00;5.3622956;9.109008
2000-01-13 16:00:00;5.349738;9.102468
2000-01-13 17:00:00;5.343048;9.099622
2000-01-13 18:00:00;5.341337;9.096743
2000-01-13 19:00:00;5.357082;9.094296
2000-01-13 20:00:00;5.3440833;9.093498
2000-01-13 21:00:00;5.3193264;9.093385
2000-01-13 22:00:00;5.2833195;9.090884
2000-01-13 23:00:00;5.2423053;9.084471
2000-01-14 00:00:00;5.2426744;9.083193
2000-01-14 01:00:00;5.1804934;9.081015
2000-01-14 02:00:00;5.133571;9.0737505
2000-01-14 03:00:00;5.017703;9.069493
2000-01-14 04:00:00;4.8605886;9.068275
2000-01-14 05:00:00;4.7256117;9.06098
2000-01-14 06:00:00;4.504215;9.05311
2000-01-14 07:00:00;4.32477;9.048338
2000-01-14 08:00:00;4.1628394;9.032759
2000-01-14 09:00:00;4.029054;9.017929
2000-01-14 10:00:00;3.957629;9.007361
2000-01-14 11:00:00;3.816969;8.988787
2000-01-14 12:00:00;3.7213614;8.970722
2000-01-14 13:00:00;3.6652908;8.953398
2000-01-14 14:00:00;3.5763295;8.9372635
2000-01-14 15:00:00;3.5094867;8.923524
2000-01-14 16:00:00;3.493463;8.908214
2000-01-14 17:00:00;3.4047105;8.90453
2000-01-14 18:00:00;3.3639207;8.906947
2000-01-14 19:00:00;3.2984242;8.913651
2000-01-14 20:00:00;3.2309947;8.906805
2000-01-14 21:00:00;3.2053392;8.904768
2000-01-14 22:00:00;3.2035031;8.91261
2000-01-14 23:00:00;3.194053;8.904482
2000-01-15 00:00:00;3.0516026;8.906839
2000-01-15 01:00:00;2.9528651;8.908217
2000-01-15 02:00:00;2.8584793;8.905916
2000-01-15 03:00:00;2.7629766;8.907433
2000-01-15 04:00:00;2.6622372;8.902983
2000-01-15 05:00:00;2.562753;8.898418
2000-01-15 06:00:00;2.4544835;8.899474
2000-01-15 07:00:00;2.385557;8.899347
2000-01-15 08:00:00;2.2298408;8.898494
2000-01-15 09:00:00;2.1400158;8.903237
2000-01-15 10:00:00;2.0609722;8.897638
2000-01-15 11:00:00;1.9881957;8.893528
2000-01-15 12:00:00;1.9379512;8.893521
2000-01-15 13:00:00;1.885017;8.890625
2000-01-15 14:00:00;1.8224686;8.890715
2000-01-15 15:00:00;1.8062589;8.895776
2000-01-15 16:00:00;1.6940163;8.893545
2000-01-15 17:00:00;1.6218144;8.892218
2000-01-15 18:00:00;1.5699098;8.892095
2000-01-15 19:00:00;1.5387049;8.891245
2000-01-15 20:00:00;1.5194685;8.893577
2000-01-15 21:00:00;1.4934802;8.901145
2000-01-15 22:00:00;1.4855845;8.895842
2000-01-15 23:00:00;1.5241116;8.894531
2000-01-16 00:00:00;1.4847779;8.896739
2000-01-16 01:00:00;1.4773467;8.898875
2000-01-16 02:00:00;1.4768515;8.899897
2000-01-16 03:00:00;1.4748166;8.904096
2000-01-16 04:00:00;1.4751081;8.898726
2000-01-16 05:00:00;1.4742163;8.89654
2000-01-16 06:00:00;1.4735991;8.896976
2000-01-16 07:00:00;1.5139549;8.899207
2000-01-16 08:00:00;1.4811631;8.900748
2000-01-16 09:00:00;1.4757382;8.904624
2000-01-16 10:00:00;1.472819;8.901752
2000-01-16 11:00:00;1.4739536;8.897172
2000-01-16 12:00:00;1.47252;8.896249
2000-01-16 13:00:00;1.4733187;8.898983
2000-01-16 14:00:00;1.47253;8.900338
2000-01-16 15:00:00;1.4980258;8.899638
2000-01-16 16:00:00;1.4859654;8.904668
2000-01-16 17:00:00;1.4736474;8.900674
2000-01-16 18:00:00;1.4734083;8.898297
2000-01-16 19:00:00;1.4716029;8.899001
2000-01-16 20:00:00;1.4730797;8.899511
2000-01-16 21:00:00;1.4715841;8.900299
2000-01-16 22:00:00;1.4724684;8.904249
2000-01-16 23:00:00;1.4717017;8.898613
2000-01-17 00:00:00;1.5181007;8.898244
2000-01-17 01:00:00;1.4749191;8.9008665
2000-01-17 02:00:00;1.4723856;8.9004345
2000-01-17 03:00:00;1.4731109;8.900557
2000-01-17 04:00:00;1.471286;8.904863
2000-01-17 05:00:00;1.4727947;8.897778
2000-01-17 06:00:00;1.4713644;8.8982525
2000-01-17 07:00:00;1.4725114;8.899916
2000-01-17 08:00:00;1.5198729;8.89984
2000-01-17 09:00:00;1.4756033;8.901372
2000-01-17 10:00:00;1.4734159;8.906158
2000-01-17 11:00:00;1.4719179;8.898298
2000-01-17 12:00:00;1.4727407;8.898618
2000-01-17 13:00:00;1.4711435;8.900231
2000-01-17 14:00:00;1.4728374;8.899931
2000-01-17 15:00:00;1.4715309;8.90066
2000-01-17 16:00:00;1.5186899;8.9051895
2000-01-17 17:00:00;1.4763045;8.899512
2000-01-17 18:00:00;1.4731685;8.900293
2000-01-17 19:00:00;1.4723235;8.899825
2000-01-17 20:00:00;1.4716207;8.900955
2000-01-17 21:00:00;1.4728079;8.90189
2000-01-17 22:00:00;1.471502;8.905455
2000-01-17 23:00:00;1.4730781;8.898995
2000-01-18 00:00:00;1.5143362;8.898386
2000-01-18 01:00:00;1.4796184;8.899299
2000-01-18 02:00:00;1.4732424;8.9026
2000-01-18 03:00:00;1.4727808;8.902394
2000-01-18 04:00:00;1.4724008;8.905904
2000-01-18 05:00:00;1.4720715;8.898999
2000-01-18 06:00:00;1.4726763;8.899464
2000-01-18 07:00:00;1.471545;8.899964
2000-01-18 08:00:00;1.5075815;8.901185
2000-01-18 09:00:00;1.4821146;8.901414
2000-01-18 10:00:00;1.4749951;8.907822
2000-01-18 11:00:00;1.4723326;8.900438
2000-01-18 12:00:00;1.472975;8.898267
2000-01-18 13:00:00;1.4723653;8.898905
2000-01-18 14:00:00;1.4722863;8.90116
2000-01-18 15:00:00;1.4729306;8.901326
2000-01-18 16:00:00;1.4720275;8.908152
2000-01-18 17:00:00;1.501845;8.9003525
2000-01-18 18:00:00;1.473917;8.898943
2000-01-18 19:00:00;1.4736378;8.901246
2000-01-18 20:00:00;1.4718288;8.901775
2000-01-18 21:00:00;1.4732066;8.900546
2000-01-18 22:00:00;1.4724345;8.9073925
2000-01-18 23:00:00;1.4728128;8.90015
2000-01-19 00:00:00;1.4727585;8.898316
2000-01-19 01:00:00;1.520735;8.900751
2000-01-19 02:00:00;1.4763395;8.902958
2000-01-19 03:00:00;1.4727882;8.902693
2000-01-19 04:00:00;1.4737067;8.908433
2000-01-19 05:00:00;1.4716886;8.89916
2000-01-19 06:00:00;1.4730387;8.89771
2000-01-19 07:00:00;1.4721867;8.900349
2000-01-19 08:00:00;1.4729664;8.901789
2000-01-19 09:00:00;1.519785;8.902069
2000-01-19 10:00:00;1.4765847;8.910946
2000-01-19 11:00:00;1.4743524;8.899996
2000-01-19 12:00:00;1.4722898;8.898626
2000-01-19 13:00:00;1.4736974;8.900205
2000-01-19 14:00:00;1.4723846;8.900547
2000-01-19 15:00:00;1.4736245;8.902451
2000-01-19 16:00:00;1.4722822;8.911931
2000-01-19 17:00:00;1.5174838;8.898296
2000-01-19 18:00:00;1.4788121;8.898421
2000-01-19 19:00:00;1.4740456;8.901752
2000-01-19 20:00:00;1.4736483;8.901886
2000-01-19 21:00:00;1.4723686;8.902411
2000-01-19 22:00:00;1.4736472;8.911486
2000-01-19 23:00:00;1.472126;8.898239
2000-01-20 00:00:00;1.473818;8.897904
2000-01-20 01:00:00;1.5111448;8.90001
2000-01-20 02:00:00;1.482558;8.902356
2000-01-20 03:00:00;1.4747988;8.904707
2000-01-20 04:00:00;1.4738758;8.907555
2000-01-20 05:00:00;1.4735522;8.902656
2000-01-20 06:00:00;1.4725538;8.899325
2000-01-20 07:00:00;1.4734861;8.8991
2000-01-20 08:00:00;1.4720244;8.902014
2000-01-20 09:00:00;1.4865439;8.903133
2000-01-20 10:00:00;1.4874022;8.906683
2000-01-20 11:00:00;1.47574;8.904901
2000-01-20 12:00:00;1.4733194;8.901078
2000-01-20 13:00:00;1.4736419;8.899493
2000-01-20 14:00:00;1.4733057;8.901355
2000-01-20 15:00:00;1.4727931;8.902476
2000-01-20 16:00:00;1.4738848;8.909018
2000-01-20 17:00:00;1.472524;8.9019985
2000-01-20 18:00:00;1.5229722;8.899289
2000-01-20 19:00:00;1.475014;8.901073
2000-01-20 20:00:00;1.4746557;8.903507
2000-01-20 21:00:00;1.4729583;8.902483
2000-01-20 22:00:00;1.4736397;8.909829
2000-01-20 23:00:00;1.4733918;8.900957
2000-01-21 00:00:00;1.4734567;8.897734
2000-01-21 01:00:00;1.4740793;8.900784
